Category,Subcategory,Data description,Attributes
Water supply,Wastewater,Sewers,"Point or polygon node locations with name and ID, Capacity of storm drains (mg/d)"
Water supply,Wastewater,Canals,"Line geometry with edge ID, connecting ends with water node IDs, Capacity and leakage rates (mg/d)"
Water supply,Wastewater,Storage (dams/mini- dams),"Line geometry with edge ID, connecting ends with water node IDs, capacity and losses (million gallons/day mg/d)"
Water supply,Irrigation,Irrigation schemes,"Polygon areas of land being irrigated, Monthly irrigation supply per irrigation scheme (mg/month), % water requirement for each scheme derived from irrigation versus rainfed"
Water demand,Industry and Commercial demand,Firms or business types served by each water supply asset/system,Polygon areas or polygon building footprints with industry name and type
Water demand,Industry and Commercial demand,Firms or business types served by each water supply asset/system,Demand in mg/d
Water demand,Household demand,Households served by each water supply asset/system,Population areas or polygon residential footprints with number of residents
Water demand,Household demand,Households served by each water supply asset/system,Demand in mg/d
Water supply,Water service provider,Cost of tankering water to disrupted communities,"Cost of water supply disruption for water service provider in terms of cost of tankering ($/gallon transported and cost of tankering, $/distance transported)"
Interdependency,All infrastructure,Connectivity,"Line geometries or rules for connections between all transport modes, electricity and water assets"
Land Use/Cover,Land Use,Land Use,"Polygon or raster of land use by type (agriculture, forests, wetlands, barren, water ecosystems, savanna, shrub, etc.)"
Land Use/Cover,Land Use,Land Use,"Polygon or raster of land-use by economic use (Settlements, Agriculture, Commercial, Conservation, Tourism & Recreation etc)"
Land Use/Cover,Land Use,Land Use,Future land-use changes (planned/proposed): area change
Land Use/Cover,Land Cover,Land Cover,"Vegetation cover (Developed, Natural Forests, Cropland, Grassland, Waterbodies, Wetlands, etc.)"
Land Use/Cover,Land Cover,Land Cover,Historic land cover
Land Use/Cover,Agricultural Land,Agricultural Land,"Location of agriculture, crop types, yield, type (Agroforestry, Conventional agriculture, Climate smart agriculture, etc.), Irrigation requirements"
Land Use/Cover,Soil characteristics,Soil characteristics,Soil type and degradation by different land-uses
Land Use/Cover,Habitats/Ecosystems,Habitats/Ecosystems,"Locations of Forests, Mountains/Barren lands, Savannahs, Beaches, Inland wetlands, Coastal and offshore ecosytems (mangroves, corals, seagrass)"
Land Use/Cover,Habitats/Ecosystems,Habitats/Ecosystems,"Attribute service provision of habitats and ecosystems (water treatment provision in m^3/year; freshwater provision in m^3/year, etc)"
Land Use/Cover,Habitats/Ecosystems,Habitats/Ecosystems,"Co-benefits (e.g. known social, environmental and economic benefits - qualitative or quantitative)"
Land Use/Cover,Habitats/Ecosystems,Habitats/Ecosystems,"Location of protected areas, National parks, endangered ecosystems"
Land Use/Cover,Habitats/Ecosystems,Habitats/Ecosystems,"Attribute service provision of protected areas/National parks (number of endangered species, tourist numbers/year)"
Land Use/Cover,Habitats/Ecosystems,Habitats/Ecosystems,Biodiversity Hotspots; Wildlife
Protection standards and damage curves,All infrastructure,Existing design standards,"Standards of hazard protection by asset type – E.g. flood protection design return periods, cyclone and landslide protection standards"
Protection standards and damage curves,All infrastructure,Damage curves,Direct damage curves for each asset and hazard type
Protection standards and damage curves,All infrastructure,Landslide protection,Slope stability data – mostly for road and rail assets
Protection standards and damage curves,All infrastructure,Flood drainage,Drainage design standards – mostly for transport assets
Damage costs,All infrastructure,Rehabilitation costs,Costs of point assets in US$ or US$/capacity
Damage costs,All infrastructure,Rehabilitation costs,Costs of line assets in US$/length
Damage costs,All infrastructure,Rehabilitation costs,Costs of areas assets in US$/area
Historical Hazard impacts,All infrastructure,Damage and disruptions,Locations of affected assets
Historical Hazard impacts,All infrastructure,Damage and disruptions,Date of event
Historical Hazard impacts,All infrastructure,Damage and disruptions,Asset value damaged
Historical Hazard impacts,All infrastructure,Damage and disruptions,Service disrupted
Historical Hazard impacts,All infrastructure,Damage and disruptions,"Duration of disruption, repair and recovery"
Historical Hazard impacts,"Firms, Households, Financial services",Damage and disruptions,"Locations of affected population, assets"
Historical Hazard impacts,"Firms, Households, Financial services",Damage and disruptions,Date of event
Historical Hazard impacts,"Firms, Households, Financial services",Damage and disruptions,Asset value damaged
Historical Hazard impacts,"Firms, Households, Financial services",Damage and disruptions,Service disrupted
Historical Hazard impacts,"Firms, Households, Financial services",Damage and disruptions,"Duration of disruption, repair and recovery"
Options,All infrastructure,Initial investment,Asset type costs in US$ or US$/length or US$/capacity
Options,All infrastructure,Routine Maintenance costs,Asset type costs in US$ or US$/length or US$/capacity
Options,All infrastructure,Periodic Maintenance costs,Asset type costs in US$ or US$/length or US$/capacity
Options,All infrastructure,Periodic Maintenance,Time in years
